Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,650000,4,2.9,9
1,Data Scientist,Exponentia Datalabs Pvt. Ltd,Remote,650000,4,2.5,13
2,Data Scientist,Catalyst,Bengaluru,650000,3,2.9,9
3,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,Secunderabad,950000,6,2.7,9
4,Senior Data Scientist,Decision Point,Chennai,650000,3,1.8,8
5,Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,Bengaluru,650000,4,2.9,9
6,Quant Analyst,iMarkserv,Mumbai,650000,3,1.2,2
7,Data Scientist,Dun & Bradstreet Information Services India Pvt Lt d,Remote,1250000,8,3.8,108
8,Analytics Manager,Flipkart Internet Private Limited,Bengaluru,1250000,8,4.2,3306
9,Lead Data Scientist,Fractal Analytics,Remote,2050000,10,3.9,95
10,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,Secunderabad,950000,6,2.7,9
