Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
8,Data Science Architect (ML/NLP) - Referral,Quality Engineering  Software Technologies Pvt. Ltd.,Thiruvananthapuram,950000,6,3.3,731
9,Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,India,1250000,7,3.7,9
10,Application Developer Sr. Data Science,RGF Professional Recruitment,Gurgaon,950000,6,2.8,3
11,Data Science Consultant,ZS Associates,Pune,950000,5,3.8,387
12,Data Science Associate Consultant,ZS Associates,Pune,650000,3,3.8,387
0,Data Science Associate Consultant,ZS Associates,Pune,650000,3,3.8,387
1,Data science -NLP,Sitel India Pvt Ltd,Chennai,1250000,7,3.8,621
2,Technical Manager - Data Science,Integra Software Services Pvt. Ltd.,Puducherry,2050000,9,3.8,130
3,Petroleum Engineer- Data Science @ Pune,Oges Solutions Private Ltd,Pune,950000,5,5.0,3
4,Data Science Analyst-Lead,Xceedance,Gurugram,950000,6,3.8,142
5,Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,Mumbai,950000,6,4.0,18231
6,"Senior Engineer - Data Science- Python, R, GCP",Datametica Solutions Pvt Ltd,Pune,650000,3,3.7,42
7,Data Science Senior Analyst,Accenture Solutions Pvt Ltd,India,350000,2,4.0,18231
8,Data Science,Accenture Solutions Pvt Ltd,Bengaluru,2050000,12,4.0,18231
9,Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,1250000,7,4.0,18231
10,Data Science -- Technical Architect,Mindtree Limited,Bengaluru,950000,5,4.0,1677
11,Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,1250000,7,4.0,18231
0,Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,1250000,7,4.0,18231
1,Data Sciences Lead,ANI Technologies Pvt Ltd (Olacabs),Bengaluru,650000,3,4.0,1146
2,Manager Data Science,Reliance Jio Infocomm Ltd.,Secunderabad,950000,5,4.0,9955
3,Lead Data Science,Reliance Jio Infocomm Ltd.,Mumbai,2050000,14,4.0,9955
4,Data Science - Intern,Mindworksglobal,Noida,350000,0,3.6,5
5,"Senior Specialist - Data Science, Marsh Advisory, International",Jardine Lloyd Thompson India Pvt Ltd.,Mumbai,950000,5,4.0,259
6,Senior Data Science Analyst,OTIS,Bengaluru,650000,3,4.1,336
7,Machine Learning & Automation Expert - Data Science,GENPACT India Private Limited,Bengaluru,950000,6,4.0,10561
8,Senior Data Science Engineer,NetApp,Bengaluru,1250000,7,4.2,116
9,Data Science Engineer - Statistical Modeling/ Machine Learning,Lera Technologies Pvt. Ltd,India,1250000,7,3.7,9
10,Data Science Engineer - Data Analytics Competence GECIA,ATLAS COPCO (I) Ltd,Pune,650000,3,4.2,382
11,Data Science Digital Data Engineering Practitioner,Accenture Solutions Pvt Ltd,Pune,650000,4,4.0,18231
0,"Data Science - Lead Engineer - R, Python, GCP",Datametica Solutions Pvt Ltd,Pune,950000,6,3.7,42
1,Application & Automation Manager Data Science,RGF Professional Recruitment,Bengaluru,950000,5,2.8,3
2,Application Developer Sr. Data Science,RGF Professional Recruitment,Bengaluru,950000,6,2.8,3
3,Data Science Professional,Capgemini Technology Services India Limited,Bengaluru,650000,4,3.6,12372
4,Data Science - BIgdata/ Cloud Lead,Optum Global Solutions (India) Private Limited,Secunderabad,650000,4,4.1,1164
5,Analytics Manager - Data Science,Datametica Solutions Pvt Ltd,Pune,2050000,10,3.7,42
6,Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,1250000,7,4.0,18231
7,Immediate Hiring - Data Science Expertise (Speech Researcher),ARMSOFTECH PRIVATE LIMITED ,Chennai,350000,2,3.3,40
8,ORD Data Science,	Morgan Stanley Advantage Services,Mumbai,350000,2,3.6,263
9,Data Science - Deputy Manager,MARSH MCLENNAN GLOBAL SERVICES INDIA PRIVATE LIMITED,Remote,950000,5,4.0,259
10,Analyst - Data Science,Nuware  Systems Pvt Ltd,Bengaluru,650000,3,4.1,22
11,Analyst (Data Science),Bloom Consulting Services,Bengaluru,650000,3,4.1,20
12,Data Science/analysis Expert - Machine Learning,Catalyst,Bengaluru,350000,2,2.9,9
13,Data Science Analyst,Cigna TTK,Bengaluru,650000,3,4.0,134
14,Analyst Data Science Analytics,Empower Retirement,Remote,350000,2,3.8,15
0,Data Science Product Manager Artificial Intelligence/ Machine Learning,Catalyst,Bengaluru,650000,4,2.9,9
1,Data Scientist,Exponentia Datalabs Pvt. Ltd,Remote,650000,4,2.5,13
2,Data Scientist,Catalyst,Bengaluru,650000,3,2.9,9
3,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,Secunderabad,950000,6,2.7,9
4,Senior Data Scientist,Decision Point,Chennai,650000,3,1.8,8
5,Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,Bengaluru,650000,4,2.9,9
6,Quant Analyst,iMarkserv,Mumbai,650000,3,1.2,2
7,Data Scientist,Dun & Bradstreet Information Services India Pvt Lt d,Remote,1250000,8,3.8,108
8,Analytics Manager,Flipkart Internet Private Limited,Bengaluru,1250000,8,4.2,3306
