Sr. No,Title,Rating,Company,City
0,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
2,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
3,Principal Consultant- Data Science,2.5,D-Cube Analytics Private Limited ,"Chennai, Bangalore/Bengaluru"
4,Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
6,Country Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
7,Data Science Engineer,4.6,INTELLIPREDIKT TECHNOLOGIES PRIVATE LIMITED,Bangalore
8,Manager Data Science,3.5,Publicis Groupe,Bangalore
9,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,Data Science Engineer,4.1,Bloom Consulting Services,Bengaluru
11,Data Science & Cloud Analytics,3.2,Brigosha Technologies,Bangalore
