Sr. No,Title,Rating,Company,City
0,Data Science,3.8,Cybage Software,Pune
1,"Data Science Manager, PAN INDIA",4.1,PayU India,Remote
2,India Market Unit - Data Science - 09,4.0,Accenture Solutions Pvt Ltd,Mumbai
3,Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
4,Head Of Data Science,3.5,Crayon-Data,Chennai
5,India Market Unit - Data Science Consultant - 09,4.0,Accenture Solutions Pvt Ltd,Delhi / NCR
6,Manager/ SM - Data Science,5.0,Phenom Placement Consultancy,Mumbai
7,Manager - Data Science,3.3,Smart Cube India Private Limited,India
