Sr. No,Title,Rating,Company,City
0,Corporate Trainer - Data Science,3.5,Koenig Solutions Ltd.,Remote
1,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
2,Data Science Lead/Manager,3.8,Gavs Technologies Private Limited,Chennai
3,India Market Unit - Data Science Analyst - (Career Level 11),4.0,Accenture Solutions Pvt Ltd,Delhi / NCR
4,India Market Unit - Data Science Analyst,4.0,Accenture Solutions Pvt Ltd,Delhi / NCR
5,Data Science,4.4,Wavemaker,Mumbai
6,Data Science Expert - AB-PMJAY - Delhi,3.7,NISG (National Institute for Smart Government),New Delhi
7,India Market Unit - Data Science - 11,4.0,Accenture Solutions Pvt Ltd,Mumbai
8,Data Science Intern,2.2,Relinns Technologies,Mohali
9,Data Science Intern,3.0,newAmps consulting pvt. ltd.,Kolkata
10,Data Science Intern,3.0,newAmps consulting pvt. ltd.,Kolkata
11,Data Science,3.5,XenonStack Private Ltd,Mohali
