Sr. No,Title,Rating,Company,City
0,Data Science Specialist,4.2,Perform Group,Bangalore
1,Technical Specialist (Statistician),3.8,RMSI Pvt. Ltd.,Noida
2,Machine Learning Application Developer,4.0,Accenture Solutions Pvt Ltd,Hyderabad
3,Machine Learning Application Developer,4.0,Accenture Solutions Pvt Ltd,Pune
4,Data Science Lead ,3.9,TA Digital,Gurgaon
5,Machine Learning Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
6,Senior Project Manager -- Data Science,4.0,Mindtree Limited,Bangalore
7,ACN - Digital - Analytics - PRD Retail Analytics - 09,4.0,Accenture Solutions Pvt Ltd,Bangalore
8,Data Scientist,4.1,IBM India Pvt. Limited,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru"
9,ACN - Digital - Analytics - PRD Retail Analytics - 09,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,ACN - Digital - Analytics - PRD Retail Analytics - 09,4.0,Accenture Solutions Pvt Ltd,Gurgaon
11,Specialist Design Engineer - Data Science,4.2,BT Global Services,India
12,Data Science Platform Engineer/Architect,4.3,Syngenta India Limited,Pune
13,Ecosystem Senior Data Engineer,4.0,Accenture Solutions Pvt Ltd,India
14,Data Science -- Senior Project Manager,4.0,Mindtree Limited,Bangalore
