Sr. No,Title,Rating,Company,City
0,Data science Managers - Immediate Joiners,3.4,Virtusa Consulting Services Pvt Ltd,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
1,Machine Learning & Automation Expert - Data Science,4.0,GENPACT India Private Limited,"Gurgaon/Gurugram, Bangalore/Bengaluru"
2,Data Science/analysis Expert - Machine Learning,2.9,Catalyst,Bangalore
3,Data Science - Intern,3.6,Mindworksglobal,Noida
4,Associate Professional Data Sciences,3.5,DXC Technology,Bangalore
5,Cluster Manager - Data Science & Engineering Unit,4.1,Bajaj Finserv,Pune
6,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
7,Senior Expert Data Science - Novartis,4.2,Novartis Healthcare Pvt. Ltd.,Hyderabad
8,Data Science -- Senior Project Manager,4.0,Mindtree Limited,Bangalore
9,Senior Project Manager -- Data Science,4.0,Mindtree Limited,Bangalore
10,Senior Data Science Engineer,4.1,NetApp,Bangalore
11,Senior Project Manager -- Data Science,4.0,Mindtree Limited,Bangalore
