Sr. No,Title,Rating,Company,City
0,ACN - Digital - Analytics - Big Data - 09,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"
1,ACN - Digital - Analytics - Solutions AI - 07,4.0,Accenture Solutions Pvt Ltd,Bangalore
2,ACN - Digital - Analytics -LS Analytics,4.0,Accenture Solutions Pvt Ltd,Bangalore
3,ACN - Digital - Analytics -LS Analytics,4.0,Accenture Solutions Pvt Ltd,Gurgaon
4,ACN - Digital - Analytics - CMT - 09,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
5,ACN - Digital - Analytics - CMT - 09,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
6,ACN - Digital - Analytics - Risk Analytics - 09,4.0,Accenture Solutions Pvt Ltd,Gurgaon
7,ACN - Digital - Analytics - Risk Analytics - 09,4.0,Accenture Solutions Pvt Ltd,Bangalore
8,ACN - Digital - Analytics - Big Data - 10,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
9,ACN - Digital - Analytics - Big Data - 09,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"
10,ACN - Digital - Analytics - Big Data - 10,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Bangalore/Bengaluru"
11,Data Science Team Lead - Retail,4.1,Shell India Markets Private Limited,Chennai
12,Analytics Lead,1.8,TransOrg Analytics,Gurgaon
13,Data Science Engineer,4.1,IBM India Pvt. Limited,Bangalore
14,Assistant Manager / Manager  -  Data Analytics,3.9,LatentView Analytics Private Limited,"Chennai, Bangalore/Bengaluru"
15,Assistant Manager / Manager  -  Data Analytics,3.9,LatentView Analytics Private Limited,"Chennai, Bangalore/Bengaluru"
16,ACN - Digital - Analytics - Big Data - 10,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Bangalore/Bengaluru"
17,ACN - Digital - Analytics - Big Data - 10,4.0,Accenture Solutions Pvt Ltd,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"
