Sr. No,Title,Rating,Company,City
0,Data Science Lead,3.8,NatWest Group,Gurgaon
1,Data Science Lead,3.8,NatWest Group,Chennai
2,Data Science Requirements,4.0,Teamware Solutions,Bangalore
3,Data Science Associate Manager,4.0,Accenture Solutions Pvt Ltd,India
4,Data Science,2.9,Diverse Lynx,Gurgaon
5,Machine Learning Engineer/Data Science,3.9,Cashify,Gurgaon
6,Data Science  /  Machine Learning,3.2,Connect Infosoft Technologies Pvt.Ltd,Faridabad
7,"Data Science Analyst - R, Python",3.8,Larsen & Toubro Infotech Limited,india
8,"Data Science Analyst - R , Python",3.8,Larsen & Toubro Infotech Limited,India
9,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,Senior Manager - Data Science,4.0,Gladwin Analytics,"Mumbai, Bengaluru"
11,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
