Sr. No,Title,Rating,Company,City
0,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
1,Senior Data Science Analyst,4.1,OTIS,"Hyderabad, Ahmedabad, Bengaluru"
2,Data Analyst - Bio Science,4.3,Perfect Digital Media Resources Pvt Ltd,Chennai
3,Data Science,4.5,Luxoft,Hyderabad
4,Senior Data Science & Analytics Platform Engineer,4.3,GlaxoSmithKline Pharmaceuticals Limited,Bangalore
5,Senior Data Science & Analytics Platform Engineer,4.3,GlaxoSmithKline Pharmaceuticals Limited,Bangalore
6,Data Science Senior Analyst,4.0,Accenture Solutions Pvt Ltd,India
7,Senior Data Science & Analytics Platform Engineer,4.3,GlaxoSmithKline Pharmaceuticals Limited,Bangalore
8,Data Science Analyst,4.1,OTIS,"Hyderabad, Ahmedabad, Bengaluru"
9,Senior Business Analyst - Data Sciences and Advanced Analytics,4.4,Vmware,Bangalore
10,Full Stack Data Science Engineer - Machine Learning/Deep Learning,4.3,Thinkbridge,India
11,"Associate Director, Asset Lead, Clinical Data Sciences, DMM",4.2,PFIZER LIMITED,Chennai
12,"TTEC  -  Senior Analyst ,  Data Science",4.2,TTEC,Hyderabad
