Sr. No,Title,Rating,Company,City
0,India Market Unit - Data Science Consultant - 09,4.0,Accenture Solutions Pvt Ltd,Bangalore
1,Assistant Professor Data Science & Information Systems,3.8,Krea University,chittoor
2,Data Science/ BI Developer,4.6,Aimbeyond Infotech Pvt Ltd,Noida
3,Data Science Engagement Manager,3.8,Wavicle Data Solutions,Coimbatore
4,Lead Engineer - Data Science (Big Data) | Target,3.8,ANSR GLOBAL CORPORATION PRIVATE LIMITED,Bangalore
5,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Hyderabad
6,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Hyderabad
7,Manager - DATA Science,5.0,Micron Semiconductor Asia Pte Ltd,Hyderabad
8,Manager - Data Science,4.3,Meritus Intelytics Private Limited,Hyderabad
9,Assistant Manager - Data Science,3.6,Vreedhi Financial Services,"Hyderabad/Secunderabad, telangana"
10,Data Science - Python - SQL,2.9,Diverse Lynx,Hyderabad
