Sr. No,Title,Rating,Company,City
0,Looking For Data Science professional,3.4,KANINI SOFTWARE SOLUTIONS INDIA PRIVATE LIMITED,"Chennai, Coimbatore"
1,Looking For Data Science professional,3.4,KANINI SOFTWARE SOLUTIONS INDIA PRIVATE LIMITED,"Chennai, Coimbatore"
2,Manager-AI/ML ( Data Science ),5.0,Spectral Consultants,Gurgaon
3,Asst.Director -Data Science,5.0,Spectral Consultants,Gurgaon
4,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Mumbai
5,Specialist Design Engineer - Data Science,4.2,BT Global Services,India
6,Data Science and Analytics,3.8,V V College of Engineering,Tirunelveli
7,India Market Unit - Data Science Consultant - 09,4.0,Accenture Solutions Pvt Ltd,Delhi / NCR
8,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Gurgaon
9,Principal Engineer - Data Science,4.6,Superior Group,Chennai
10,India Market Unit - Data Science Manager - (Career Level 07),4.0,Accenture Solutions Pvt Ltd,Mumbai
11,Trainer Data Science,4.5,Indian Institute of Digital Education,Mumbai
