Sr. No,Title,Rating,Company,City
0,Assistant Manager - Data Science,3.3,Smart Cube India Private Limited,India
1,Data Science / Analytics Consultant,4.4,SAS Research and  Developement (India) Pvt Ltd,Mumbai
2,"Sat_dna_ Data Science,python _manager",3.6,EY,"Noida, Noida"
3,Data Engineer - Data Sciences,3.7,GEP,Mumbai
4,Hiring For Python Developer - Data Science,2.7,Inlogic Technologies Private Limited.,Chennai
5,Python / Data Science Architect,3.8,Career Soft Solutions,Chennai
6,Data Science & ML Engineer,4.2,Markytics,Mumbai
7,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
8,Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
9,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
10,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Mumbai
11,Data Science Intern,2.2,Relinns Technologies,Mohali
