Sr. No,Title,Rating,Company,City
0,Professional 2 Data Sciences,3.5,DXC Technology,Gurgaon
1,Data Science Engineer (Smart MFG & AI),5.0,Micron Semiconductor Asia Pte Ltd,Hyderabad
2,Data Science,1.4,Blue Ocean Catalyst Private Limited,Chennai
3,Manager Data Science,4.0,Reliance Jio Infocomm Ltd.,Bangalore
4,Business Analyst - Data Science,3.8,Sitel India Limited.,Chennai
5,Manager Data Science,4.0,Reliance Jio Infocomm Ltd.,Bangalore
6,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
7,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
8,Senior Analyst-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
9,Associate Director - Data Science,4.1,Nagarro Software Pvt. Ltd,"Noida, Gurgaon/Gurugram, Delhi / NCR"
10,Associate Director - Data Science,4.1,Nagarro Software Pvt. Ltd,"Noida, Gurgaon/Gurugram, Delhi / NCR"
11,Nagarro Hiring For Data Science Professionals,4.1,Nagarro Software Pvt. Ltd,india
12,Nagarro Hiring For Data Science Professionals,4.1,Nagarro Software Pvt. Ltd,india
13,Data Science Intern,4.2,DataTrained,"Noida, Bangalore/Bengaluru"
