Sr. No,Title,Rating,Company,City
0,Principal Data Scientist/ Manager - Data Science,4.2,Perform Group,Bangalore
1,Manager Data Science,4.0,Reliance Jio Infocomm Ltd.,Bangalore
2,Data Science Engineer/ML Engineer,4.8,Patterns7 Technologies,Pune
3,Development Engineer - Data Science,4.1,Signify,Bangalore
4,Data Science Expert ( Searching For Ad Rank ),3.7,Huawei Technologies India Pvt Ltd,Bangalore
5,Data Science Expert ( NLP ),3.7,Huawei Technologies India Pvt Ltd,Bangalore
6,Data Science Expert ( Search Rank ),3.7,Huawei Technologies India Pvt Ltd,Bangalore
7,"Data Science Expert( KG)
",3.7,Huawei Technologies India Pvt Ltd,Bangalore
8,SCM - DATA SCIENCE,3.8,BRIDGEi2i Analytics Solutions Private Limited,Bangalore
9,Data Science Analyst,4.0,Cigna TTK,Bangalore
10,Data Science -- Module Lead,4.0,Mindtree Limited,Bangalore
11,Team Lead/ Sr. Scientist- Analytics & Data Science,3.7,Global Analytics India Pvt. Ltd,"Chennai, Delhi / NCR"
12,Data Science Associate Consultant,3.8,ZS Associates,Bengaluru
13,Data Analytics/Data Science,3.7,Intelenet Global Services Private Limited,"Noida, New Delhi, Pune, Gurgaon/Gurugram, Mumbai (All Areas)"
14,SQL+ Power BI Developer- Data Science Team,3.0,Acuity Knowledge Partners,Bangalore
15,Nagarro Hiring For Data Science Professionals,4.1,Nagarro Software Pvt. Ltd,india
16,Data Science Team Lead - Retail,4.1,Shell India Markets Private Limited,Chennai
17,Senior Software Engineer - Data Science,4.2,TO THE NEW Private Limited,Noida
