Sr. No,Title,Rating,Company,City
0,Data Science - Lead Researcher,3.8,Integra Software Services Pvt. Ltd.,"Pondicherry/Puducherry, Chennai"
1,Data Science - Lead Researcher,3.8,Integra Software Services Pvt. Ltd.,"Pondicherry/Puducherry, Chennai"
2,Data Science Resource - Mumbai,3.6,Bristlecone India Limited,Mumbai
3,"Data Engineer-Azure Data Lake - SQL (healthcare, Life Science)",4.1,Contactx Resource Management Pvt. Ltd.,Bangalore
4,Data Science Digital Data Engineering Practitioner,4.0,Accenture Solutions Pvt Ltd,Mumbai
5,Manager Data Science QuadPay,5.0,BLUCOGNITION PRIVATE LIMITED,"Pune, Bangalore/Bengaluru"
6,"Senior Analyst, Data Science",4.2,TTEC,"Hyderabad, telangana"
7,Chief Architect Data Sciences,3.8,Larsen & Toubro Infotech Limited,Pune
8,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Bangalore
