Sr. No,Title,Rating,Company,City
0,Data Science Intern,4.2,DataTrained,"Noida, Bangalore/Bengaluru"
1,Data Science / Machine Learning stream project intern,4.6,Vikatan,Chennai
2,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Pune
3,Campaign Management Data Science,3.8,StriveX Consulting Pvt. Ltd,"Pune, Chennai, Bangalore/Bengaluru"
4,Analyst Data Science Analytics,3.9,Empower Retirement,"Bangalore/Bengaluru, Remote"
5,Data Science Specialist,4.2,Perform Group,Bangalore
6,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Bangalore
7,ANALYTICS CONSULTANT - DATA SCIENCE,3.8,BRIDGEi2i Analytics Solutions Private Limited,Bangalore
8,SCM - DATA SCIENCE,3.8,BRIDGEi2i Analytics Solutions Private Limited,Bangalore
9,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
10,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
11,Team Lead/Consultant-Data Science,4.0,Accenture Solutions Pvt Ltd,Bangalore
