Sr. No,Title,Rating,Company,City
0,Job Opening For Data Science Lead @ GlobalData (Hyd),3.6,GlobalData,Hyderabad/Secunderabad(Kondapur)
1,Data Science Trainer,4.0,Naresh i Technologies,Hyderabad
2,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
3,Immediate Job Opening For Data Science Manager @ Globaldata (hyd),3.6,GlobalData,Hyderabad/Secunderabad(Kondapur)
4,Data Science Team Lead,4.1,Shell India Markets Private Limited,Chennai
5,Associate Director - Data Science,4.0,Parexel International India Pvt. Ltd.,Hyderabad
6,Data Science Team Lead,4.1,Shell India Markets Private Limited,Chennai
7,Splunk Developer - SQL/Data Science,2.2,CarbyneTech India,Hyderabad
8,Data Science Manager,2.8,Infosenseglobal,"Gandhinagar, Pune"
9,Data Science,3.6,Capgemini Technology Services India Limited,Mumbai
10,Data Analytics and Data Science,4.0,ICICI Bank Ltd,Mumbai (All Areas)
11,Data Science Lead,4.0,NatWest Markets,Delhi
12,Data Science Lead,4.0,NatWest Markets,Gurgaon
13,Data Science Lead,4.0,NatWest Markets,Chennai
14,Data Science Lead,3.8,NatWest Group,Delhi
