Sr. No,Title,Rating,Company,City
0,Data Science Intern - DataTrained,4.2,Data Trained Education,"Noida, Bangalore/Bengaluru, Delhi / NCR"
1,Data Science Application Lead,4.0,Accenture Solutions Pvt Ltd,Pune
2,Data Science Application Developer,4.0,Accenture Solutions Pvt Ltd,Pune
3,Data Science Engineer,4.0,Xoriant Solutions Pvt Ltd,Pune
4,Analytics Manager - Data Science,3.7,Datametica Solutions Pvt Ltd,Pune
5,Data Science Digital Data Engineering Practitioner,4.0,Accenture Solutions Pvt Ltd,Pune
6,Data Science Platform Engineer/Architect,4.3,Syngenta India Limited,Pune
7,"Data Science - Lead Engineer - R, Python, GCP",3.7,Datametica Solutions Pvt Ltd,Pune
8,Technical Architect -- Data Science,4.0,Mindtree Limited,Pune
9,Data Science Platform Engineer,4.3,Syngenta Global,Pune
10,Data Science Lead ,3.9,TA Digital,Gurgaon
